Action ID,Package ID,Package Decription,Package Groups,Strategy ID,Strategy,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,
Compressor-Air Champion CSI 7.5-TICK_A011,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Inspect all pipe work while running for any leakage and repair as needed,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A010,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Check the purge line sight glass for signs of flow,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A01,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Change the compressor oil,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A02,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Replace the oil filter element,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A07,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Drain liquids from all air receivers,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A016,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,12,M,04,00,KICK INST AIR 12M-04-00,KICK INST AIR 12M-04-00-001,Check the condition of all safety devices and repair or replace as required,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 1 Yearly,SERVICE-PM-CO.RE-900215-J-2007.docx,2879279,001
Compressor-Air Champion CSI 7.5-TICK_A012,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,12,M,04,00,KICK INST AIR 12M-04-00,KICK INST AIR 12M-04-00-001,Replace the seperator element,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 1 Yearly,SERVICE-PM-CO.RE-900215-J-2007.docx,2879279,001
Compressor-Air Champion CSI 7.5-TICK_A03,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-001,Replace the air intake filter element,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 6 Monthly,SERVICE-PM-CO.RE-900215-J-2006.docx,2879278,001
Compressor-Air Champion CSI 7.5-TICK_A015,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,12,M,04,00,KICK INST AIR 12M-04-00,KICK INST AIR 12M-04-00-001,Check the condition of the thermovalve and service as required,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 1 Yearly,SERVICE-PM-CO.RE-900215-J-2007.docx,2879279,001
Compressor-Air Champion CSI 7.5-TICK_A014,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-0003,3800 - Tickalara Satellite,KICK INST AIR 3800-K-0003,KICK,INST AIR,3800-K-0003,12,M,04,00,KICK INST AIR 12M-04-00,KICK INST AIR 12M-04-00-001,Check the condition of the minimum pressure valve and service as required,Tickalara Champion CSI 7.5 Air Compressor Mechanical Service 1 Yearly,SERVICE-PM-CO.RE-900215-J-2007.docx,2879279,001
Compressor-Air Champion APP10-TICK_A08,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-001,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-001,3800 - Tickalara Satellite,KICK INST AIR 3800-KX-001,KICK,INST AIR,3800-KX-001,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-002,Check tightness of motor hold down bolts and compressor hold down bolts,Tickalara Champion APP10 Air Compressor Mechanical Service 6 Monthly,2229263.docx,2229263,002
Compressor-Air Champion APP10-TICK_A011,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-001,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-001,3800 - Tickalara Satellite,KICK INST AIR 3800-KX-001,KICK,INST AIR,3800-KX-001,12,M,04,00,KICK INST AIR 12M-04-00,KICK INST AIR 12M-04-00-002,"Replace v-belt set if required, adjust motor to achieve correct belt tension. Inspect pulley grooves for wear",Tickalara Champion APP10 Air Compressor Mechanical Service 1 Yearly,2229618.docx,2229618,002
Compressor-Air Champion APP10-TICK_A07,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-001,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-001,3800 - Tickalara Satellite,KICK INST AIR 3800-KX-001,KICK,INST AIR,3800-KX-001,6,M,04,00,KICK INST AIR 6M-04-00,KICK INST AIR 6M-04-00-002,"Check v-belt tension using belt tensioning tool, if adjustment required",Tickalara Champion APP10 Air Compressor Mechanical Service 6 Monthly,2229263.docx,2229263,002
Compressor-Air Champion APP10-TICK_A02,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-001,Tickalara Satellite - Instrument Air - Air Compressor Package - 3800-KX-001,3800 - Tickalara Satellite,KICK INST AIR 3800-KX-001,KICK,INST AIR,3800-KX-001,3,M,04,00,KICK INST AIR 3M-04-00,KICK INST AIR 3M-04-00-001,"Clean filter housing of air intake filter, install new air filter",Tickalara Champion APP10 Air Compressor Mechanical Service 3 Monthly,2232313.docx,2232313,001
