Action ID,Package ID,Package Decription,Package Groups,Strategy ID,Strategy,ID,Asset Name,Interval,Interval Units,Recommended Resource,Shutdown Required,Reference Column,Job Plan ID,Action Name,Plan Description,MyPlant Document Number,Oracle Activity,,
Managed by Integrity_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-PSV-001,,,1650-PSV-001,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Integrity_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-TK-001B,,,1650-TK-001B,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-TK-001A-CO,,,1650-TK-001A-CO,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-SAT-STO,,,1650-SAT-STO,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Managed by Integrity_A01,Tintaburra Satellite - Crude Oil Storage - Tanks,Tintaburra Satellite - Crude Oil Storage - Tanks,1650 - Tintaburra Satellite,TINTA CRUDE STRG 1650-PSV-006,,,1650-PSV-006,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Integrity_A01,Tintaburra Satellite - Emergency Shutdown Valve - Control and Monitor,Tintaburra Satellite - Emergency Shutdown Valve - Control and Monitor,1650 - Tintaburra Satellite,TINTA ESD 1650-HS-1067,,,1650-HS-1067,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-SP18-0003,,,1650-SP18-0003,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-SP62-0001,,,1650-SP62-0001,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-SAT-EXP,,,1650-SAT-EXP,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-SP18-0004,,,1650-SP18-0004,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-PX-002,,,1650-PX-002,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-SP67-0001,,,1650-SP67-0001,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Managed by Integrity_A01,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-PSV-259,,,1650-PSV-259,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-SP62-0002,,,1650-SP62-0002,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Managed by Integrity_A01,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-PSV-257,,,1650-PSV-257,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Integrity_A01,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,Tintaburra Satellite - Export - Crude Oil Loadout Pump Package,1650 - Tintaburra Satellite,TINTA EXP 1650-PSV-263,,,1650-PSV-263,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Managed by Integrity_A01,Tintaburra Satellite - Fire Water Tank - Control and Monitor,Tintaburra Satellite - Fire Water Tank - Control and Monitor,1650 - Tintaburra Satellite,TINTA FIRE WAT TK 1650-TK-003,,,1650-TK-003,,,,,,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,Managed by Integrity,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Fire Water Pump,Tintaburra Satellite - Fire Water Pump,1650 - Tintaburra Satellite,TINTA FIRE WAT 1650-SAT-FIR,,,1650-SAT-FIR,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Managed by Parent Maintenance_A02,Tintaburra Satellite - Fire Water Tank - Control and Monitor,Tintaburra Satellite - Fire Water Tank - Control and Monitor,1650 - Tintaburra Satellite,TINTA FIRE WAT TK 1650-LG-0502,,,1650-LG-0502,,,,,,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,Managed by Parent Maintenance,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Piping Area - Pipe Supports And Structures,Tintaburra Satellite - Piping Area - Pipe Supports And Structures,1650 - Tintaburra Satellite,TINTA PIP 1650-SAT-PIP,,,1650-SAT-PIP,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Piping Area - Pipe Supports And Structures,Tintaburra Satellite - Piping Area - Pipe Supports And Structures,1650 - Tintaburra Satellite,TINTA PIP 1650-SAT-PIP-STRUCT,,,1650-SAT-PIP-STRUCT,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Production Facilities - Chemical Injection Pump Packages,Tintaburra Satellite - Production Facilities - Chemical Injection Pump Packages,1650 - Tintaburra Satellite,TINTA PRO FAC 1650-SAT-PRO-REV,,,1650-SAT-PRO-REV,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
Parent Asset - Maintenance covered by children_A03,Tintaburra Satellite - Production Facilities - Chemical Injection Pump Packages,Tintaburra Satellite - Production Facilities - Chemical Injection Pump Packages,1650 - Tintaburra Satellite,TINTA PRO FAC 1650-SAT-PRO,,,1650-SAT-PRO,,,,,,Parent Asset,Parent Asset,Parent Asset,Parent Asset,Parent Asset,,
